마자, 87, 176
마사, 83, 153
차차, 91, 175
사바, 63, 183
마라, 47, 155
아나, 70, 173
바나, 61, 168
바차, 49, 177
가파, 87, 148
파바, 72, 181
하차, 82, 177
마사, 79, 154
마차, 59, 172
자자, 67, 140
가사, 50, 182
마자, 91, 192
하나, 75, 142
하아, 54, 160
마라, 85, 154
마가, 76, 162
다타, 89, 171
카자, 66, 185
마자, 54, 150
타마, 59, 169
나차, 45, 167
바하, 49, 163
라가, 56, 193
가타, 56, 152
하자, 68, 161
차자, 40, 168
가바, 77, 141
나나, 40, 142
바가, 94, 193
파마, 72, 162
라카, 55, 197
다타, 83, 166
자마, 40, 146
다파, 76, 159
다다, 52, 153
파다, 75, 142
가마, 72, 157
다하, 99, 170
자아, 54, 187
다아, 88, 167
가파, 88, 164
사다, 91, 177
아사, 63, 179
파카, 56, 178
아사, 41, 144
타다, 91, 162
나자, 61, 168
차카, 84, 196
아하, 55, 163
가카, 40, 191
아카, 95, 172
나가, 99, 190
사차, 41, 196
차카, 53, 191
다차, 86, 148
파나, 40, 157
나하, 52, 175
파아, 45, 157
나사, 60, 180
사라, 53, 142
차차, 62, 149
바하, 40, 153
라가, 71, 154
사나, 73, 172
가라, 70, 173
타자, 77, 187
다라, 57, 185
가아, 59, 144
다다, 95, 177
카카, 55, 153
차타, 88, 144
자마, 64, 150
라차, 67, 182
가라, 73, 199
파라, 77, 165
가사, 48, 145
자하, 75, 152
자사, 83, 147
하나, 45, 161
라바, 57, 198
파타, 80, 146
카나, 65, 140
하타, 78, 191
라차, 74, 195
다마, 71, 197
카나, 59, 141
사라, 91, 141
자자, 73, 174
가다, 99, 159
라카, 46, 178
다마, 90, 190
나카, 89, 146
아바, 66, 149
바사, 55, 178
마차, 48, 177
하마, 68, 175
하아, 79, 168
나하, 79, 195
자나, 78, 196
아다, 88, 183
다사, 65, 173
아나, 51, 174
마자, 73, 197
바타, 81, 178
타사, 49, 189
아가, 43, 143
아자, 66, 148
바차, 61, 172
가차, 74, 179
나나, 51, 164
바나, 68, 173
바자, 46, 178
타가, 41, 157
차차, 48, 172
차라, 95, 176
다자, 87, 167
타마, 63, 172
나라, 92, 153
자나, 90, 154
라아, 57, 156
나가, 82, 164
나바, 65, 199
다가, 99, 160
나하, 46, 186
가아, 58, 149
아라, 48, 169
카다, 47, 163
아가, 81, 199
마가, 66, 167
하차, 83, 143
파자, 66, 141
파라, 90, 145
하카, 96, 193
다바, 54, 164
카가, 73, 192
파라, 55, 147
타파, 65, 161
나타, 96, 140
차다, 89, 193
라아, 45, 185
다파, 41, 170
타나, 98, 173
라라, 74, 140
라아, 47, 164
사가, 60, 164
나나, 50, 185
차카, 80, 173
카자, 87, 143
라마, 42, 158
나차, 58, 155
가파, 70, 173
차타, 75, 153
나하, 72, 167
파파, 90, 181
나사, 79, 148
마타, 89, 163
자라, 60, 150
하아, 50, 168
다카, 68, 195
파바, 45, 163
아아, 58, 183
차가, 89, 145
카파, 96, 171
사사, 82, 162
아차, 56, 166
하카, 65, 173
사카, 49, 180
사자, 76, 140
카다, 49, 180
타타, 48, 199
자마, 99, 191
나마, 42, 196
차자, 72, 143
타가, 80, 151
바가, 96, 157
가가, 52, 140
사자, 53, 177
카바, 47, 155
파하, 40, 188
타마, 80, 195
자마, 69, 199
바사, 58, 175
다파, 79, 170
사카, 75, 176
마카, 75, 159
자카, 49, 147
사자, 63, 171
마하, 55, 171
카차, 55, 168
하나, 95, 185
마자, 42, 152
가마, 89, 165
하다, 99, 164
차파, 70, 186
바파, 56, 161
사나, 68, 171
카아, 84, 192
나자, 78, 159
다나, 77, 195
카다, 81, 196
카마, 97, 144
다마, 48, 150
가카, 82, 195
다바, 75, 162
파바, 97, 156
나사, 69, 182
카아, 72, 146
파나, 97, 164
타바, 85, 190
하자, 71, 148
라마, 66, 170
아자, 48, 147
하자, 96, 183
파카, 42, 159
하라, 46, 198
바하, 41, 140
가가, 65, 159
나차, 99, 186
다사, 71, 151
하타, 49, 143
아자, 55, 181
파가, 82, 140
라가, 93, 168
나자, 83, 168
하마, 62, 189
아하, 56, 146
마하, 58, 170
다하, 83, 177
라마, 95, 153
나타, 52, 169
사카, 90, 170
카바, 57, 140
나아, 55, 175
라사, 98, 196
자나, 84, 171
다차, 65, 154
마바, 82, 163
파차, 86, 178
가바, 49, 189
나자, 73, 178
타마, 79, 156
가하, 69, 163
마파, 86, 161
카타, 70, 174
카타, 75, 188
아다, 73, 176
라자, 83, 187
다자, 98, 169
아바, 69, 182
차라, 55, 172
라가, 78, 186
아다, 81, 184
하바, 41, 199
타바, 42, 168
차바, 92, 163
파가, 93, 151
파다, 56, 174
파나, 87, 173
마자, 87, 196
나마, 94, 195
라타, 55, 161
하라, 98, 161
다나, 64, 170
카아, 74, 175
자차, 75, 176
라라, 59, 170
나다, 93, 167
차차, 40, 187
파마, 91, 183
다하, 84, 180
파자, 59, 184
